Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,State Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2021-001011,2021-01-01,2021-01-02,First Class,CUST-10643,Ava Lee,Home Office,United States,Norfolk,Virginia,VA,East,CAM-591,Technology,Cameras,Camera Model 591,1445.67,2,0.2,37.17
ORD-2021-001539,2021-01-01,2021-01-08,Standard Class,CUST-10910,Noah Nguyen,Home Office,United States,Albany,New York,NY,East,PHO-221,Technology,Phones,Phone Model 221,1915.51,3,0.15,145.11
ORD-2021-003168,2021-01-01,2021-01-03,Second Class,CUST-10020,Wei Nguyen,Corporate,United States,Tucson,Arizona,AZ,West,PHO-827,Technology,Phones,Phone Model 827,343.3,1,0.1,45.26
ORD-2021-005277,2021-01-01,2021-01-07,Standard Class,CUST-10548,Elena Nguyen,Consumer,United States,Columbus,Ohio,OH,Central,CAM-753,Technology,Cameras,Camera Model 753,454.71,1,0.0,88.66
ORD-2021-005504,2021-01-01,2021-01-02,First Class,CUST-10252,Emma Wilson,Consumer,United States,Columbus,Ohio,OH,Central,BOO-673,Furniture,Bookcases,Bookcase Model 673,123.84,1,0.3,-14.07
ORD-2021-006322,2021-01-01,2021-01-05,Second Class,CUST-10663,Chen Johnson,Consumer,United States,Philadelphia,Pennsylvania,PA,East,LAB-560,Office Supplies,Labels,Label Model 560,14.72,1,0.0,4.16
ORD-2021-007613,2021-01-01,2021-01-06,Standard Class,CUST-10629,Ananya Clark,Corporate,United States,Sacramento,California,CA,West,CAM-237,Technology,Cameras,Camera Model 237,3201.0,4,0.0,611.76
ORD-2021-009520,2021-01-01,2021-01-02,First Class,CUST-10054,Mia Chang,Consumer,United States,Montgomery,Alabama,AL,South,LAP-873,Technology,Laptops,Laptop Model 873,832.61,1,0.0,123.94
ORD-2021-002540,2021-01-02,2021-01-04,Second Class,CUST-11332,Sofia Kumar,Corporate,United States,Nashville,Tennessee,TN,South,COO-602,Home & Kitchen,Cookware,Cookware Model 602,83.26,1,0.15,9.79
ORD-2021-003274,2021-01-02,2021-01-06,Standard Class,CUST-10029,Omar Taylor,Consumer,United States,Orlando,Florida,FL,South,APP-850,Home & Kitchen,Appliances,Appliance Model 850,926.45,3,0.0,146.48
ORD-2021-004786,2021-01-02,2021-01-02,Same Day,CUST-10036,Lucas Patel,Consumer,United States,Reno,Nevada,NV,West,MEN-859,Clothing,Men's Apparel,Men's Apparel Model 859,215.19,2,0.1,33.91
ORD-2021-006387,2021-01-02,2021-01-05,Second Class,CUST-10263,Ava Patel,Consumer,United States,Portland,Oregon,OR,West,LAP-119,Technology,Laptops,Laptop Model 119,4692.24,4,0.0,581.17
ORD-2021-007047,2021-01-02,2021-01-08,Standard Class,CUST-11104,Liam Patel,Consumer,United States,Tucson,Arizona,AZ,West,PHO-975,Technology,Phones,Phone Model 975,641.24,4,0.15,89.89
ORD-2021-000378,2021-01-03,2021-01-08,Standard Class,CUST-10377,Ananya Davis,Consumer,United States,Miami,Florida,FL,South,KID-988,Clothing,Kids' Wear,Kids' Wear Model 988,67.49,2,0.15,6.98
ORD-2021-003065,2021-01-03,2021-01-04,First Class,CUST-10045,Lucas Clark,Corporate,United States,Worcester,Massachusetts,MA,East,KID-838,Clothing,Kids' Wear,Kids' Wear Model 838,13.79,1,0.4,-0.41
ORD-2021-008103,2021-01-03,2021-01-10,Standard Class,CUST-10318,Liam Khan,Corporate,United States,Las Vegas,Nevada,NV,West,APP-106,Home & Kitchen,Appliances,Appliance Model 106,266.06,1,0.1,23.41
ORD-2021-001819,2021-01-04,2021-01-08,Standard Class,CUST-10225,Ken Walker,Corporate,United States,Boston,Massachusetts,MA,East,BIN-470,Office Supplies,Binders,Binder Model 470,7.17,3,0.4,0.7
ORD-2021-003477,2021-01-04,2021-01-08,Standard Class,CUST-10197,Isabella Lewis,Consumer,United States,Chicago,Illinois,IL,Central,DEC-767,Home & Kitchen,Decor,Decor Model 767,515.71,5,0.0,111.84
ORD-2021-004641,2021-01-04,2021-01-11,Standard Class,CUST-10843,Fatima Davis,Consumer,United States,Boulder,Colorado,CO,West,STO-663,Office Supplies,Storage,Storage Model 663,83.37,1,0.1,10.61
ORD-2021-005662,2021-01-04,2021-01-11,Standard Class,CUST-10317,Ahmed Taylor,Corporate,United States,Chicago,Illinois,IL,Central,PHO-218,Technology,Phones,Phone Model 218,1644.3,2,0.0,389.72
ORD-2021-007784,2021-01-04,2021-01-07,Second Class,CUST-11285,Ravi Walker,Corporate,United States,Birmingham,Alabama,AL,South,PHO-240,Technology,Phones,Phone Model 240,2115.31,4,0.2,164.78
ORD-2021-008745,2021-01-04,2021-01-06,Second Class,CUST-10754,Elena Taylor,Corporate,United States,Los Angeles,California,CA,West,TAB-520,Furniture,Tables,Table Model 520,1373.44,2,0.1,87.75
ORD-2021-001027,2021-01-05,2021-01-09,Second Class,CUST-11138,Sofia Johnson,Consumer,United States,Memphis,Tennessee,TN,South,PHO-979,Technology,Phones,Phone Model 979,739.03,2,0.3,6.02
ORD-2021-001920,2021-01-05,2021-01-08,Second Class,CUST-10624,Noah Young,Consumer,United States,Las Vegas,Nevada,NV,West,TAB-514,Furniture,Tables,Table Model 514,883.74,1,0.0,106.77
ORD-2021-003245,2021-01-05,2021-01-07,First Class,CUST-10238,Elena Smith,Consumer,United States,Springfield,Illinois,IL,Central,PAP-327,Office Supplies,Paper,Paper Model 327,9.22,2,0.0,2.2
ORD-2021-003759,2021-01-05,2021-01-09,Standard Class,CUST-10180,Elena Lewis,Home Office,United States,Tucson,Arizona,AZ,West,DEC-208,Home & Kitchen,Decor,Decor Model 208,47.73,1,0.15,2.06
